date,product_id,sku,quantity_sold,unit_price,total_revenue,hour,promotion_active,promotion_discount,transaction_id
2025-11-16,42,ELE00042,2,262.92,525.84,15,False,0.0,TXN000000000
2025-11-16,42,ELE00042,1,262.92,262.92,15,False,0.0,TXN000000001
2025-11-16,42,ELE00042,1,262.92,262.92,16,False,0.0,TXN000000002
2025-11-16,42,ELE00042,1,262.92,262.92,9,False,0.0,TXN000000003
2025-11-16,20,FOO00020,1,4.17,4.17,16,False,0.0,TXN000000004
2025-11-16,35,HOM00035,4,210.24,840.96,15,False,0.0,TXN000000005
2025-11-16,35,HOM00035,1,210.24,210.24,14,False,0.0,TXN000000006
2025-11-16,35,HOM00035,1,210.24,210.24,14,False,0.0,TXN000000007
2025-11-16,16,CLO00016,1,58.39,58.39,15,False,0.0,TXN000000008
2025-11-16,16,CLO00016,1,58.39,58.39,12,False,0.0,TXN000000009
2025-11-16,16,CLO00016,1,58.39,58.39,14,False,0.0,TXN000000010
2025-11-16,16,CLO00016,1,58.39,58.39,17,False,0.0,TXN000000011
2025-11-16,16,CLO00016,1,58.39,58.39,15,False,0.0,TXN000000012
2025-11-16,17,TOY00017,1,98.46,98.46,10,False,0.0,TXN000000013
2025-11-16,17,TOY00017,1,98.46,98.46,14,False,0.0,TXN000000014
2025-11-16,6,HEA00006,1,64.45,64.45,12,False,0.0,TXN000000015
2025-11-16,6,HEA00006,1,64.45,64.45,14,False,0.0,TXN000000016
2025-11-16,27,HEA00027,1,22.72,22.72,14,False,0.0,TXN000000017
2025-11-16,27,HEA00027,1,22.72,22.72,18,False,0.0,TXN000000018
2025-11-16,27,HEA00027,1,22.72,22.72,10,False,0.0,TXN000000019
2025-11-16,27,HEA00027,1,22.72,22.72,10,False,0.0,TXN000000020
2025-11-16,12,BOO00012,1,45.88,45.88,17,False,0.0,TXN000000021
2025-11-16,50,SPO00050,1,164.96,164.96,18,False,0.0,TXN000000022
2025-11-16,50,SPO00050,1,164.96,164.96,14,False,0.0,TXN000000023
2025-11-16,11,HOM00011,1,256.18,256.18,11,False,0.0,TXN000000024
2025-11-16,21,HEA00021,1,76.38,76.38,13,False,0.0,TXN000000025
2025-11-16,21,HEA00021,1,76.38,76.38,14,False,0.0,TXN000000026
2025-11-16,21,HEA00021,1,76.38,76.38,15,False,0.0,TXN000000027
2025-11-16,31,ELE00031,1,260.91,260.91,16,False,0.0,TXN000000028
2025-11-16,31,ELE00031,1,260.91,260.91,14,False,0.0,TXN000000029
2025-11-16,31,ELE00031,1,260.91,260.91,18,False,0.0,TXN000000030
2025-11-16,31,ELE00031,1,260.91,260.91,15,False,0.0,TXN000000031
2025-11-16,31,ELE00031,1,260.91,260.91,15,False,0.0,TXN000000032
2025-11-16,31,ELE00031,2,260.91,521.82,19,False,0.0,TXN000000033
2025-11-16,31,ELE00031,1,260.91,260.91,15,False,0.0,TXN000000034
2025-11-16,31,ELE00031,1,260.91,260.91,10,False,0.0,TXN000000035
2025-11-16,31,ELE00031,1,260.91,260.91,9,False,0.0,TXN000000036
2025-11-16,2,BOO00002,1,19.31,19.31,13,False,0.0,TXN000000037
2025-11-16,2,BOO00002,1,19.31,19.31,16,False,0.0,TXN000000038
2025-11-16,2,BOO00002,1,19.31,19.31,11,False,0.0,TXN000000039
2025-11-16,2,BOO00002,1,19.31,19.31,16,False,0.0,TXN000000040
2025-11-16,2,BOO00002,1,19.31,19.31,10,False,0.0,TXN000000041
2025-11-16,2,BOO00002,1,19.31,19.31,14,False,0.0,TXN000000042
2025-11-16,2,BOO00002,1,19.31,19.31,15,False,0.0,TXN000000043
2025-11-16,2,BOO00002,1,19.31,19.31,15,False,0.0,TXN000000044
2025-11-16,2,BOO00002,1,19.31,19.31,17,False,0.0,TXN000000045
2025-11-16,2,BOO00002,1,19.31,19.31,14,False,0.0,TXN000000046
2025-11-16,2,BOO00002,1,19.31,19.31,15,False,0.0,TXN000000047
